,Unnamed: 0,GEOID,MedianIncome,Pickup,TotalPopulation,Population_Density, Employment_Density,Percent_Zero_Car_Ownership,LandUse_Diversity,Distance_from_transit
177,177,17031150401,80337,142.0,5228,28.80362851,2.983858994,0.335206466,0.309172315,186.75
178,178,17031150402,99345,86.0,3599,21.486207,2.737240683,0.238395935,0.368205239,257.0433333
179,179,17031150501,89250,24.0,3957,25.59564584,0.881115302,0.108773926,0.097793504,374.1733333
180,180,17031150502,76576,67.0,4378,25.56239641,2.698422895,0.123978606,0.28818147,239.1666667
181,181,17031150600,84507,61.0,4246,26.18795941,2.02802193,0.133261939,0.268127476,221.62
182,182,17031150700,85714,136.0,4197,25.69561577,1.74769622,0.236442516,0.197820325,206.195
183,183,17031150800,68320,384.0,4967,29.89714822,2.087158081,0.259824098,0.218600646,228.526
184,184,17031151001,81042,90.0,2714,33.25598092,1.150975198,0.229255319,0.105061082,394.96
185,185,17031151002,64741,502.0,4770,30.67580485,6.228807297,0.192158169,0.681988201,268.5575
186,186,17031151100,63125,282.0,5325,34.32344435,2.64104439,0.147523278,0.269072853,211.8975
187,187,17031151200,81410,239.0,3474,21.61393977,9.934822425,0.180308945,1.314177951,260.6233333
188,188,17031160100,79643,49.0,2577,18.33410997,2.281700709,0.109804283,0.404106678,398.985
189,189,17031160200,114453,476.0,3002,14.07404786,7.022844236,0.111825682,1.455384451,612.5575
190,190,17031160300,76222,552.0,3764,34.97937901,3.133108734,0.089013051,0.171824923,333.9366667
191,191,17031160400,83598,757.0,4693,27.52036397,8.698406322,0.051256737,0.908456108,346.01
192,192,17031160501,59000,293.0,3870,45.08257894,1.695302817,0.152836556,0.114442338,242.745
193,193,17031160502,62607,295.0,3782,53.37752559,2.866558481,0.102240212,0.177407934,262.4133333
194,194,17031160601,82723,233.0,3529,41.93103877,5.893765088,0.087296804,0.346131861,258.8366667
195,195,17031160602,69594,345.0,3681,43.4056203,3.328296727,0.065386064,0.184252609,247.66
196,196,17031160700,84713,1189.0,6191,34.66274275,9.806430503,0.195287959,0.809467526,259.908
197,197,17031160800,62584,1128.0,4909,30.26788968,4.456006915,0.128101181,0.39092653,234.428
198,198,17031160900,107031,171.0,2464,16.53910283,4.460130885,0.161548195,0.600049078,316.505
199,199,17031161000,136750,266.0,2151,20.40645265,4.095394304,0.118211468,0.521594547,262.86
200,200,17031161100,150357,102.0,2043,15.16083337,2.804575314,0.076230632,0.532001332,245.425
201,201,17031161200,69896,86.0,3090,26.15809226,7.901633545,0.134258016,1.012352202,360.09
202,202,17031161300,57661,665.0,3919,32.13306453,7.333550447,0.252187396,0.509812701,163.9525
203,203,17031170100,86146,30.0,2058,8.208407972,11.38727151,0.136887556,2.726838586,474.76
204,204,17031170200,73075,57.0,4106,26.68050747,1.415017155,0.214507182,0.204371518,229.3333333
205,205,17031170300,93281,152.0,5350,21.53895278,2.504865859,0.161092911,0.709200542,473.148
206,206,17031170400,78167,27.0,4044,22.06999782,2.425183383,0.131823937,0.284104662,232.3475
207,207,17031170500,103542,118.0,5593,18.18760694,0.571444404,0.109268688,0.092914592,350.035
208,208,17031170700,74141,,3177,23.99067509,0.902744254,0.070492086,0.103364512,345.56
209,209,17031170800,68611,37.0,4189,23.20833563,1.887710876,0.150990126,0.252900205,371.0433333
210,210,17031171000,95865,139.0,7328,22.50811379,2.305078959,0.152978268,0.303613653,272.9183333
211,211,17031171100,99293,79.0,3841,23.98252187,1.116346063,0.173506515,0.152205985,229.3333333
212,212,17031180100,76250,174.0,6360,24.67029992,2.117386897,0.05937396,0.263708572,252.934
213,213,17031190100,56597,380.0,2606,33.35886238,55.37622358,0.113548313,5.218335344,264.2
214,214,17031190200,66313,330.0,5624,34.48405696,2.402764727,0.212898346,0.273140475,245.76
215,215,17031190300,72593,339.0,5535,33.92033222,2.538559468,0.190066858,0.263410722,257.4925
216,216,17031190401,67000,90.0,4193,25.88721788,1.321255818,0.065941197,0.180679375,228.66
217,217,17031190402,62825,321.0,5572,34.47699727,2.240472856,0.075467944,0.227060688,254.14
218,218,17031190601,53375,109.0,5145,44.67329746,0.532719022,0.05124949,0.051435362,231.57
219,219,17031190602,54179,223.0,5608,40.98209285,3.549712318,0.044050031,0.47221072,236.4833333
220,220,17031190701,49531,89.0,2924,42.42703435,2.226548728,0.095694186,0.194254817,202.51
221,221,17031190702,45625,222.0,4841,52.28185379,2.234748803,0.060958806,0.145654607,246.7666667
222,222,17031190800,59471,410.0,7338,44.5760926,2.295667825,0.089413097,0.235236021,266.884
223,223,17031190900,66786,40.0,2537,32.63156698,3.009770073,0.065151515,0.327731092,329.92
224,224,17031191000,60250,116.0,2651,25.1079747,6.202706148,0.074995904,0.895656821,227.99
225,225,17031191100,51590,603.0,7482,38.00828503,3.373729243,0.08704942,0.389783551,214.5783333
226,226,17031191200,46742,156.0,3934,39.00026949,4.31140717,0.13745401,0.766377204,248.105
227,227,17031191301,67604,142.0,5658,37.00563231,3.427815411,0.271411339,0.461704823,210.5566667
228,228,17031191302,55308,209.0,5333,34.65682196,3.389356917,0.139403114,0.370917883,219.945
229,229,17031200100,72857,171.0,3763,26.88659603,1.666741156,0.145171711,0.192874513,402.7833333
230,230,17031200200,56368,455.0,4800,26.16518235,7.076006928,0.034821072,0.877076314,254.4775
231,231,17031200300,72667,104.0,1962,32.28021126,3.066928136,0.086843297,0.367520162,199.155
232,232,17031200401,46618,132.0,3746,38.06741275,10.68756367,0.127874808,0.904027698,412.395
233,233,17031200402,52188,272.0,4380,47.56968967,3.081527485,0.091674763,0.301839746,318.74
234,234,17031210100,95682,2014.0,3684,22.14487519,11.76484551,0.148571297,1.80824869,206.0833333
235,235,17031210400,52639,302.0,2851,28.14576703,5.617593688,0.16860927,0.881208685,308.455
236,236,17031210501,46369,775.0,3273,40.68458085,10.15775056,0.143935699,0.701967593,288.34
237,237,17031210502,63512,736.0,4685,52.8060267,4.855698733,0.155462185,0.354783477,246.7666667
238,238,17031210601,78229,407.0,2761,38.66789615,2.754538207,0.136196776,0.277706829,244.53
239,239,17031210602,78684,901.0,4200,43.71361656,5.340143878,0.074785522,0.35035608,159.1433333
240,240,17031210700,74750,1060.0,4392,35.65440104,3.766030763,0.181750644,0.293481458,341.9866667
241,241,17031210800,58929,74.0,1077,26.84408595,9.27205197,0.270029767,0.96875,218.6
242,242,17031210900,88194,1215.0,3095,27.28275093,3.923410545,0.165262157,0.421749703,210.555
243,243,17031220300,128417,592.0,2201,28.53675917,1.64470035,0.147931842,0.135513655,266.21
244,244,17031220400,125522,747.0,2643,32.79290312,4.465176164,0.188782125,0.330567356,234.025
245,245,17031220500,117609,1444.0,2607,31.43242449,10.18746095,0.157915516,0.696138286,319.6333333
246,246,17031220601,98214,209.0,1763,37.30656685,4.563953937,0.172012414,0.32016066,261.52
247,247,17031220602,55833,3245.0,5058,42.81727063,5.015454186,0.079517392,0.212761271,155.032
248,248,17031220701,72500,358.0,3230,50.34308385,4.303693358,0.167312913,0.28988297,282.08
249,249,17031220702,66174,750.0,3817,38.10519319,5.06067418,0.192772645,0.683869865,293.37
250,250,17031220901,48477,212.0,3073,46.81103717,1.125294091,0.227091316,0.111048189,347.35
251,251,17031220902,58636,452.0,2927,35.8701657,5.219739966,0.214449512,0.457704363,308.46
252,252,17031221000,51989,928.0,2774,51.01340338,3.365355668,0.14728606,0.18113318,259.505
253,253,17031221100,73600,1616.0,5207,49.50737306,3.239201224,0.27475891,0.1941122,164.9566667
254,254,17031221200,120863,780.0,2917,40.07895359,5.05649797,0.175671436,0.305152092,221.285
255,255,17031221300,65625,2300.0,2848,34.53678421,11.27757195,0.098958333,0.71283098,237.8266667
256,256,17031221400,138594,3478.0,3026,33.87828628,8.658912445,0.168691749,0.528540574,306.67
257,257,17031221500,71439,1014.0,2822,37.17007327,6.905513111,0.121976058,0.40115305,287.67
258,258,17031221600,188864,1208.0,3136,40.99962465,29.69157243,0.130129671,1.600427351,343.325
259,259,17031222200,228125,1266.0,2226,39.89221039,7.781439433,0.252081039,0.473319295,97.23
260,260,17031222500,74792,264.0,1748,44.67244086,2.274512149,0.218874203,0.168880455,207.87
261,261,17031222600,87188,177.0,1573,40.142164,2.143637493,0.278201465,0.121037464,261.52
262,262,17031222700,74000,323.0,2462,46.45467406,4.676883101,0.111427248,0.361445783,142.16
263,263,17031222800,47031,43.0,968,37.00421802,2.523014865,0.119547492,0.180821918,278.95
264,264,17031222900,55375,24.0,1051,19.87853102,3.763870288,0.276538259,0.601208459,270.91
265,265,17031230100,61250,147.0,1794,44.71311081,0.89725306,0.198037018,0.057692308,227.99
266,266,17031230200,61406,182.0,2149,40.65921279,3.311010814,0.236205955,0.286415712,202.51
267,267,17031230400,54625,71.0,2089,25.59576612,1.905951032,0.275699268,0.223386864,253.475
268,268,17031230500,33672,268.0,3489,31.60769536,4.813530594,0.206211298,0.698689559,261.52
269,269,17031230600,42902,1520.0,7303,38.38795783,3.668471975,0.340070127,0.53382233,229.78
270,270,17031230700,44798,975.0,5899,37.04231924,2.226541893,0.272406229,0.22435995,216.9275
271,271,17031230800,59539,11.0,1425,28.21336279,3.662787449,0.256692464,0.518207283,378.2
272,272,17031230900,56667,1509.0,4965,45.46600666,2.205106778,0.155000181,0.15377546,211.0066667
273,273,17031231200,36330,1364.0,6782,42.43054533,3.181068417,0.152356167,0.281993757,261.52
274,274,17031231500,41722,2037.0,5772,23.74045888,5.306219784,0.14800759,0.64418019,312.0333333
275,275,17031240200,199464,537.0,1641,43.53739042,4.112306834,0.185878963,0.194723618,277.61
276,276,17031240300,167083,2026.0,1215,30.76132378,22.58362206,0.174698795,1.535283993,219.94
277,277,17031240500,209917,2819.0,2267,40.23692752,15.44160871,0.257534247,0.677570093,295.05
278,278,17031240600,138333,248.0,1506,38.83240799,5.595373529,0.066465257,0.354575163,232.01
279,279,17031240700,96324,145.0,1752,43.83618677,17.31429295,0.193910256,1.034379671,264.2
280,280,17031240800,64531,175.0,1500,36.44163179,3.148924291,0.265139116,0.230952776,205.865
281,281,17031240900,43098,558.0,928,13.39800953,25.91533093,0.204778157,3.655804481,164.96
282,282,17031241000,62011,669.0,2096,40.94152173,14.05535089,0.131132809,1.166687753,293.035
283,283,17031241100,66667,1969.0,3826,49.19297793,2.400066123,0.295498393,0.127391488,219.275
284,284,17031241200,163214,1159.0,1797,29.10214181,9.56001807,0.203341714,0.807893111,270.905
285,285,17031241300,183750,710.0,2090,51.54652181,7.251041824,0.19409667,0.388375165,441.23
286,286,17031241400,189896,10540.0,5230,42.62880786,21.83474348,0.025210084,1.070769121,199.825
