,GEOID,Pickup
534,17031300600.0,32
535,17031836500.0,31
536,17031650301.0,31
537,17031711400.0,31
538,17031836300.0,31
539,17031660700.0,31
540,17031580700.0,31
541,17031040401.0,30
542,17031611500.0,30
543,17031260700.0,30
544,17031190601.0,30
545,17031711500.0,29
546,17031590700.0,29
547,17031711100.0,29
548,17031843500.0,29
549,17031010701.0,29
550,17031660302.0,29
551,17031300900.0,29
552,17031590600.0,29
553,17031806600.0,29
554,17031730202.0,28
555,17031380100.0,28
556,17031150401.0,28
557,17031380200.0,28
558,17031760803.0,28
559,17031837000.0,28
560,17031381800.0,28
561,17031650400.0,27
562,17031681400.0,27
563,17031834900.0,27
564,17031420400.0,27
565,17031051000.0,27
566,17031420100.0,27
567,17031190702.0,27
568,17031580502.0,27
569,17031150700.0,26
570,17031820202.0,26
571,17031190701.0,25
572,17031620300.0,25
573,17031813801.0,25
574,17031660400.0,25
575,17031490700.0,25
576,17031834500.0,25
577,17031461000.0,25
578,17031839500.0,24
579,17031260900.0,24
580,17031570100.0,24
581,17031580501.0,24
582,17031300700.0,24
583,17031750600.0,24
584,17031834700.0,24
585,17031700402.0,23
586,17031260300.0,23
587,17031170300.0,22
588,17031720200.0,22
589,17031560800.0,22
590,17031100600.0,22
591,17031820902.0,22
592,17031110501.0,22
593,17031570200.0,22
594,17031271200.0,22
595,17031191301.0,21
596,17031140601.0,21
597,17031430900.0,21
598,17031301701.0,20
599,17031301600.0,20
600,17031100400.0,20
601,17031620100.0,20
602,17031490300.0,20
603,17031301801.0,20
604,17031843400.0,20
605,17031030104.0,19
606,17031350400.0,19
607,17031813400.0,19
608,17031170500.0,19
609,17031200300.0,19
610,17031840200.0,19
611,17031150502.0,19
612,17031030702.0,19
613,17031720300.0,19
614,17031381900.0,19
615,17031807300.0,19
616,17031843800.0,19
617,17031421200.0,19
618,17031811600.0,19
619,17031300500.0,19
620,17031836900.0,18
621,17031140301.0,18
622,17031711300.0,18
623,17031200401.0,18
624,17031301802.0,18
625,17031480500.0,18
626,17031700301.0,17
627,17031100500.0,17
628,17031491300.0,17
629,17031190401.0,17
630,17031050800.0,17
631,17031460301.0,17
632,17031650100.0,17
633,17031841400.0,17
634,17031300800.0,17
635,17031150402.0,16
636,17031271300.0,16
637,17031660500.0,16
638,17031580100.0,16
639,17031804603.0,16
640,17031814900.0,16
641,17031500300.0,16
642,17031600700.0,16
643,17031811302.0,16
644,17031190602.0,16
645,17031823304.0,16
646,17031390200.0,16
647,17031410200.0,16
648,17031840000.0,16
649,17031838600.0,16
650,17031120200.0,16
651,17031260200.0,16
652,17031831300.0,16
653,17031807800.0,16
654,17031730100.0,15
655,17031222800.0,15
656,17031640300.0,15
657,17031280800.0,15
658,17031580400.0,15
659,17031730700.0,15
660,17031740200.0,15
661,17031171100.0,15
662,17031710600.0,15
663,17031630900.0,15
664,17031160100.0,15
665,17031110300.0,15
666,17031550100.0,14
667,17031180100.0,14
668,17031271800.0,14
669,17031210800.0,14
