GEOID,MedianIncome,Pickup,,,,,,,,Row Labels, TotalPopulation,Population_Denisty, Employment_Density,Percent_Zero_Car_Ownership, LandUse_Diversity,Distancefromthepopulation-weightedcentroidto nearesttransit station
17031190602,54179,16,,,,,,,,17031170500,5593,72.75042777,2.285777613,0.176200122,0.371658366,1400.14
17031190701,49531,25,,,,,,,,17031170600,2468,35.53837347,1.717533942,0.191388371,0.244448212,866.36
17031190702,45625,27,,,,,,,,17031170700,3177,71.97202529,2.708232763,0.182876418,0.310093537,1036.68
17031190800,59471,89,,,,,,,,17031170800,4189,69.62500689,5.663132628,0.268239292,0.758700616,1113.13
17031190900,66786,11,,,,,,,,17031170900,1881,23.74562963,1.11090665,0.065151515,0.133333333,214.58
17031191000,60250,11,,,,,,,,17031171000,7328,135.0486827,13.83047375,0.449975423,1.821681915,1637.51
17031191100,51590,101,,,,,,,,17031171100,3841,71.94756561,3.349038189,0.26114826,0.456617954,688
17031191200,46742,32,,,,,,,,17031180100,6360,123.3514996,10.58693449,0.687270051,1.318542859,1264.67
17031191301,67604,21,,,,,,,,17031190100,2606,33.35886238,55.37622358,0.271411339,5.218335344,264.2
17031191302,55308,54,,,,,,,,17031190200,5624,137.9362278,9.61105891,0.557612455,1.092561898,983.04
17031200100,72857,53,,,,,,,,17031190300,5535,135.6813289,10.15423787,0.580686844,1.053642888,1029.97
17031200200,56368,98,,,,,,,,17031190401,4193,51.77443575,2.642511635,0.069642144,0.361358749,457.32
17031200300,72667,19,,,,,,,,17031190402,5572,68.95399454,4.480945711,0.173686594,0.454121376,508.28
17031200401,46618,18,,,,,,,,17031190601,5145,134.0198924,1.598157066,0.383624424,0.154306087,694.71
17031200402,52188,63,,,,,,,,17031190602,5608,122.9462786,10.64913695,0.275024288,1.41663216,709.45
17031210100,95682,356,,,,,,,,17031190701,2924,84.85406869,4.453097456,0.297142593,0.388509633,405.02
17031210400,52639,67,,,,,,,,17031190702,4841,156.8455614,6.704246408,0.505827809,0.436963821,740.3
17031210501,46369,162,,,,,,,,17031190800,7338,222.880463,11.47833913,0.719678493,1.176180103,1334.42
17031210502,63512,160,,,,,,,,17031190900,2537,32.63156698,3.009770073,0.155462185,0.327731092,329.92
17031210601,78229,103,,,,,,,,17031191000,2651,50.21594941,12.40541229,0.27239355,1.791313642,455.98
17031210602,78684,227,,,,,,,,17031191100,7482,228.0497102,20.24237546,0.448713133,2.338701304,1287.47
17031210700,74750,218,,,,,,,,17031191200,3934,78.00053897,8.622814339,0.363501288,1.532754408,496.21
17031210800,58929,14,,,,,,,,17031191301,5658,111.0168969,10.28344623,0.8100893,1.38511447,631.67
17031210900,88194,249,,,,,,,,17031191302,5333,69.31364392,6.778713834,0.330524313,0.741835765,439.89
17031220300,128417,100,,,,,,,,17031200100,3763,80.6597881,5.000223467,0.443795524,0.57862354,1208.35
17031220400,125522,200,,,,,,,,17031200200,4800,104.6607294,28.30402772,0.755128501,3.508305257,1017.91
17031220500,117609,321,,,,,,,,17031200300,1962,64.56042252,6.13385627,0.31583103,0.735040324,398.31
17031220601,98214,58,,,,,,,,17031200401,3746,76.13482549,21.37512735,0.344024827,1.808055395,824.79
17031220602,55833,690,,,,,,,,17031200402,4380,142.709069,9.244582455,0.238552177,0.905519239,956.22
17031220701,72500,70,,,,,,,,17031210100,3684,66.43462558,35.29453652,0.501938739,5.424746069,618.25
17031220702,66174,158,,,,,,,,17031210400,2851,56.29153405,11.23518738,0.38554529,1.762417369,616.91
17031220901,48477,40,,,,,,,,17031210501,3273,81.3691617,20.31550112,0.454182631,1.403935185,576.68
17031220902,58636,71,,,,,,,,17031210502,4685,158.4180801,14.5670962,0.643348536,1.064350432,740.3
17031221000,51989,131,,,,,,,,17031210601,2761,116.0036884,8.263614621,0.441858179,0.833120488,733.59
17031221100,73600,285,,,,,,,,17031210602,4200,131.1408497,16.02043164,0.824276731,1.051068239,477.43
17031221200,120863,134,,,,,,,,17031210700,4392,106.9632031,11.29809229,0.527014306,0.880444374,1025.96
17031221300,65625,420,,,,,,,,17031210800,1077,26.84408595,9.27205197,0.098958333,0.96875,218.6
17031221400,138594,569,,,,,,,,17031210900,3095,54.56550186,7.846821088,0.337383497,0.843499406,421.11
