,GEOID,0
618,17031580502,101
619,17031271200,101
620,17031100600,101
621,17031611500,100
622,17031840300,99
623,17031120400,98
624,17031460700,97
625,17031271800,96
626,17031590600,96
627,17031050700,96
628,17031110400,95
629,17031381900,95
630,17031271300,95
631,17031560800,95
632,17031640300,94
633,17031650100,94
634,17031251000,92
635,17031190401,90
636,17031151001,90
637,17031810502,89
638,17031190701,89
639,17031630900,88
640,17031480500,88
641,17031491200,88
642,17031020701,88
643,17031570500,87
644,17031150402,86
645,17031161200,86
646,17031835500,86
647,17031590500,85
648,17031690500,85
649,17031140601,85
650,17031461000,85
651,17031421200,83
652,17031560700,82
653,17031260400,81
654,17031530400,80
655,17031730300,80
656,17031171100,79
657,17031030702,79
658,17031410600,79
659,17031460301,79
660,17031600600,78
661,17031580200,78
662,17031140500,78
663,17031740200,77
664,17031301701,77
665,17031611200,77
666,17031301803,76
667,17031030104,75
668,17031720300,74
669,17031210800,74
670,17031510200,72
671,17031808002,71
672,17031230400,71
673,17031812301,70
674,17031620200,69
675,17031301600,68
676,17031150502,67
677,17031720700,66
678,17031110200,66
679,17031300500,65
680,17031840000,64
681,17031480300,64
682,17031480100,63
683,17031351500,63
684,17031831300,62
685,17031150600,61
686,17031680500,60
687,17031670800,59
688,17031611800,59
689,17031843800,58
690,17031720100,57
691,17031620400,57
692,17031836300,57
693,17031170200,57
694,17031823001,57
695,17031750200,57
696,17031640600,56
697,17031390500,56
698,17031812500,54
699,17031411100,54
700,17031660301,54
701,17031840100,53
702,17031410200,53
703,17031050900,53
704,17031560900,53
705,17031570400,52
706,17031611400,52
707,17031710100,52
708,17031381500,51
709,17031561100,50
710,17031840800,49
711,17031822102,49
712,17031160100,49
713,17031130200,49
714,17031600700,48
715,17031301801,48
716,17031251700,48
717,17031670400,47
718,17031301100,45
719,17031440700,44
720,17031611300,44
721,17031670700,43
722,17031711300,43
723,17031222800,43
724,17031640700,43
725,17031020301,42
726,17031640500,42
727,17031740400,42
728,17031817900,41
729,17031190900,40
730,17031550200,39
731,17031671900,39
732,17031671400,39
733,17031650302,39
734,17031231100,38
735,17031740300,38
736,17031810200,38
737,17031170800,37
738,17031612000,37
739,17031411200,37
740,17031670100,33
741,17031670900,33
742,17031841700,33
743,17031810301,32
744,17031580300,32
745,17031110300,31
746,17031580800,31
747,17031750300,31
748,17031490400,30
749,17031170100,30
750,17031500300,30
751,17031301702,29
752,17031560300,29
753,17031670200,29
754,17031760802,28
755,17031340400,28
756,17031611700,27
757,17031170400,27
758,17031610400,27
759,17031040800,27
760,17031561000,26
761,17031671100,26
762,17031611000,25
763,17031611100,25
764,17031100700,25
765,17031150501,24
766,17031222900,24
767,17031680600,23
768,17031720600,23
769,17031670300,22
770,17031612100,22
771,17031460200,22
772,17031380500,21
773,17031480200,21
774,17031750400,21
775,17031810400,21
776,17031530100,21
777,17031813801,20
778,17031630200,20
779,17031671200,19
780,17031821402,19
781,17031670600,19
782,17031808100,19
783,17031812600,18
784,17031740100,18
785,17031671800,17
786,17031809300,17
787,17031611600,15
788,17031821900,15
789,17031821800,15
790,17031560100,15
791,17031814800,14
792,17031530502,14
793,17031610800,14
794,17031806900,14
795,17031820902,14
796,17031809900,13
797,17031812900,12
798,17031813702,12
799,17031230800,11
800,17031230300,11
801,17031560400,11
802,17031720400,11
803,17031812000,11
804,17031640100,11
805,17031291600,11
806,17031090300,10
807,17031670500,10
808,17031806600,10
