GEO_ID,NAME,S1903_C03_015E
id,Geographic Area Name,Estimate!!Median income (dollars)!!FAMILIES!!Families
1400000US17031100600,"Census Tract 1006, Cook County, Illinois",87061
1400000US17031100700,"Census Tract 1007, Cook County, Illinois",101806
1400000US17031110100,"Census Tract 1101, Cook County, Illinois",100392
1400000US17031110200,"Census Tract 1102, Cook County, Illinois",107267
1400000US17031110300,"Census Tract 1103, Cook County, Illinois",93517
1400000US17031110400,"Census Tract 1104, Cook County, Illinois",72437
1400000US17031110501,"Census Tract 1105.01, Cook County, Illinois",94836
1400000US17031110502,"Census Tract 1105.02, Cook County, Illinois",92868
1400000US17031120100,"Census Tract 1201, Cook County, Illinois",166719
1400000US17031120200,"Census Tract 1202, Cook County, Illinois",153472
1400000US17031120300,"Census Tract 1203, Cook County, Illinois",155640
1400000US17031120400,"Census Tract 1204, Cook County, Illinois",113359
1400000US17031130100,"Census Tract 1301, Cook County, Illinois",83875
1400000US17031130200,"Census Tract 1302, Cook County, Illinois",103125
1400000US17031130300,"Census Tract 1303, Cook County, Illinois",63571
1400000US17031140100,"Census Tract 1401, Cook County, Illinois",54129
1400000US17031140200,"Census Tract 1402, Cook County, Illinois",45969
1400000US17031140301,"Census Tract 1403.01, Cook County, Illinois",56250
1400000US17031140302,"Census Tract 1403.02, Cook County, Illinois",93141
1400000US17031140400,"Census Tract 1404, Cook County, Illinois",94344
1400000US17031140500,"Census Tract 1405, Cook County, Illinois",70875
1400000US17031140601,"Census Tract 1406.01, Cook County, Illinois",51053
1400000US17031140602,"Census Tract 1406.02, Cook County, Illinois",61875
1400000US17031140701,"Census Tract 1407.01, Cook County, Illinois",68000
1400000US17031140702,"Census Tract 1407.02, Cook County, Illinois",63219
1400000US17031140800,"Census Tract 1408, Cook County, Illinois",98056
1400000US17031150200,"Census Tract 1502, Cook County, Illinois",85284
1400000US17031150300,"Census Tract 1503, Cook County, Illinois",102725
1400000US17031150401,"Census Tract 1504.01, Cook County, Illinois",80337
1400000US17031150402,"Census Tract 1504.02, Cook County, Illinois",99345
1400000US17031150501,"Census Tract 1505.01, Cook County, Illinois",89250
1400000US17031150502,"Census Tract 1505.02, Cook County, Illinois",76576
1400000US17031150600,"Census Tract 1506, Cook County, Illinois",84507
1400000US17031150700,"Census Tract 1507, Cook County, Illinois",85714
1400000US17031150800,"Census Tract 1508, Cook County, Illinois",68320
1400000US17031151001,"Census Tract 1510.01, Cook County, Illinois",81042
1400000US17031151002,"Census Tract 1510.02, Cook County, Illinois",64741
1400000US17031151100,"Census Tract 1511, Cook County, Illinois",63125
1400000US17031151200,"Census Tract 1512, Cook County, Illinois",81410
1400000US17031160100,"Census Tract 1601, Cook County, Illinois",79643
1400000US17031160200,"Census Tract 1602, Cook County, Illinois",114453
1400000US17031160300,"Census Tract 1603, Cook County, Illinois",76222
1400000US17031160400,"Census Tract 1604, Cook County, Illinois",83598
1400000US17031160501,"Census Tract 1605.01, Cook County, Illinois",59000
1400000US17031160502,"Census Tract 1605.02, Cook County, Illinois",62607
1400000US17031160601,"Census Tract 1606.01, Cook County, Illinois",82723
1400000US17031160602,"Census Tract 1606.02, Cook County, Illinois",69594
1400000US17031160700,"Census Tract 1607, Cook County, Illinois",84713
1400000US17031160800,"Census Tract 1608, Cook County, Illinois",62584
1400000US17031160900,"Census Tract 1609, Cook County, Illinois",107031
1400000US17031161000,"Census Tract 1610, Cook County, Illinois",136750
1400000US17031161100,"Census Tract 1611, Cook County, Illinois",150357
1400000US17031161200,"Census Tract 1612, Cook County, Illinois",69896
1400000US17031161300,"Census Tract 1613, Cook County, Illinois",57661
1400000US17031170100,"Census Tract 1701, Cook County, Illinois",86146
1400000US17031170200,"Census Tract 1702, Cook County, Illinois",73075
1400000US17031170300,"Census Tract 1703, Cook County, Illinois",93281
1400000US17031170400,"Census Tract 1704, Cook County, Illinois",78167
1400000US17031170500,"Census Tract 1705, Cook County, Illinois",103542
1400000US17031170600,"Census Tract 1706, Cook County, Illinois",84620
1400000US17031170700,"Census Tract 1707, Cook County, Illinois",74141
1400000US17031170800,"Census Tract 1708, Cook County, Illinois",68611
1400000US17031170900,"Census Tract 1709, Cook County, Illinois",79000
1400000US17031171000,"Census Tract 1710, Cook County, Illinois",95865
1400000US17031171100,"Census Tract 1711, Cook County, Illinois",99293
1400000US17031180100,"Census Tract 1801, Cook County, Illinois",76250
1400000US17031190100,"Census Tract 1901, Cook County, Illinois",56597
1400000US17031190200,"Census Tract 1902, Cook County, Illinois",66313
1400000US17031190300,"Census Tract 1903, Cook County, Illinois",72593
1400000US17031190401,"Census Tract 1904.01, Cook County, Illinois",67000
1400000US17031190402,"Census Tract 1904.02, Cook County, Illinois",62825
1400000US17031190601,"Census Tract 1906.01, Cook County, Illinois",53375
1400000US17031190602,"Census Tract 1906.02, Cook County, Illinois",54179
1400000US17031190701,"Census Tract 1907.01, Cook County, Illinois",49531
1400000US17031190702,"Census Tract 1907.02, Cook County, Illinois",45625
1400000US17031190800,"Census Tract 1908, Cook County, Illinois",59471
1400000US17031190900,"Census Tract 1909, Cook County, Illinois",66786
1400000US17031191000,"Census Tract 1910, Cook County, Illinois",60250
1400000US17031191100,"Census Tract 1911, Cook County, Illinois",51590
1400000US17031191200,"Census Tract 1912, Cook County, Illinois",46742
1400000US17031191301,"Census Tract 1913.01, Cook County, Illinois",67604
1400000US17031191302,"Census Tract 1913.02, Cook County, Illinois",55308
1400000US17031200100,"Census Tract 2001, Cook County, Illinois",72857
1400000US17031200200,"Census Tract 2002, Cook County, Illinois",56368
1400000US17031200300,"Census Tract 2003, Cook County, Illinois",72667
1400000US17031200401,"Census Tract 2004.01, Cook County, Illinois",46618
1400000US17031200402,"Census Tract 2004.02, Cook County, Illinois",52188
1400000US17031210100,"Census Tract 2101, Cook County, Illinois",95682
1400000US17031210400,"Census Tract 2104, Cook County, Illinois",52639
1400000US17031210501,"Census Tract 2105.01, Cook County, Illinois",46369
1400000US17031210502,"Census Tract 2105.02, Cook County, Illinois",63512
1400000US17031210601,"Census Tract 2106.01, Cook County, Illinois",78229
1400000US17031210602,"Census Tract 2106.02, Cook County, Illinois",78684
1400000US17031210700,"Census Tract 2107, Cook County, Illinois",74750
1400000US17031210800,"Census Tract 2108, Cook County, Illinois",58929
1400000US17031210900,"Census Tract 2109, Cook County, Illinois",88194
1400000US17031220300,"Census Tract 2203, Cook County, Illinois",128417
1400000US17031220400,"Census Tract 2204, Cook County, Illinois",125522
1400000US17031220500,"Census Tract 2205, Cook County, Illinois",117609
1400000US17031220601,"Census Tract 2206.01, Cook County, Illinois",98214
1400000US17031220602,"Census Tract 2206.02, Cook County, Illinois",55833
1400000US17031220701,"Census Tract 2207.01, Cook County, Illinois",72500
1400000US17031220702,"Census Tract 2207.02, Cook County, Illinois",66174
1400000US17031220901,"Census Tract 2209.01, Cook County, Illinois",48477
1400000US17031220902,"Census Tract 2209.02, Cook County, Illinois",58636
1400000US17031221000,"Census Tract 2210, Cook County, Illinois",51989
1400000US17031221100,"Census Tract 2211, Cook County, Illinois",73600
1400000US17031221200,"Census Tract 2212, Cook County, Illinois",120863
1400000US17031221300,"Census Tract 2213, Cook County, Illinois",65625
1400000US17031221400,"Census Tract 2214, Cook County, Illinois",138594
1400000US17031221500,"Census Tract 2215, Cook County, Illinois",71439
1400000US17031221600,"Census Tract 2216, Cook County, Illinois",188864
1400000US17031222200,"Census Tract 2222, Cook County, Illinois",228125
1400000US17031222500,"Census Tract 2225, Cook County, Illinois",74792
1400000US17031222600,"Census Tract 2226, Cook County, Illinois",87188
1400000US17031222700,"Census Tract 2227, Cook County, Illinois",74000
1400000US17031222800,"Census Tract 2228, Cook County, Illinois",47031
1400000US17031222900,"Census Tract 2229, Cook County, Illinois",55375
1400000US17031230100,"Census Tract 2301, Cook County, Illinois",61250
1400000US17031230200,"Census Tract 2302, Cook County, Illinois",61406
1400000US17031230300,"Census Tract 2303, Cook County, Illinois",46250
1400000US17031230400,"Census Tract 2304, Cook County, Illinois",54625
1400000US17031230500,"Census Tract 2305, Cook County, Illinois",33672
1400000US17031230600,"Census Tract 2306, Cook County, Illinois",42902
1400000US17031230700,"Census Tract 2307, Cook County, Illinois",44798
1400000US17031230800,"Census Tract 2308, Cook County, Illinois",59539
1400000US17031230900,"Census Tract 2309, Cook County, Illinois",56667
1400000US17031231100,"Census Tract 2311, Cook County, Illinois",-
1400000US17031231200,"Census Tract 2312, Cook County, Illinois",36330
1400000US17031231500,"Census Tract 2315, Cook County, Illinois",41722
1400000US17031240200,"Census Tract 2402, Cook County, Illinois",199464
1400000US17031240300,"Census Tract 2403, Cook County, Illinois",167083
1400000US17031240500,"Census Tract 2405, Cook County, Illinois",209917
1400000US17031240600,"Census Tract 2406, Cook County, Illinois",138333
1400000US17031240700,"Census Tract 2407, Cook County, Illinois",96324
1400000US17031240800,"Census Tract 2408, Cook County, Illinois",64531
1400000US17031240900,"Census Tract 2409, Cook County, Illinois",43098
1400000US17031241000,"Census Tract 2410, Cook County, Illinois",62011
1400000US17031241100,"Census Tract 2411, Cook County, Illinois",66667
1400000US17031241200,"Census Tract 2412, Cook County, Illinois",163214
1400000US17031241300,"Census Tract 2413, Cook County, Illinois",183750
1400000US17031241400,"Census Tract 2414, Cook County, Illinois",189896
1400000US17031241500,"Census Tract 2415, Cook County, Illinois",176250
1400000US17031241600,"Census Tract 2416, Cook County, Illinois",119500
1400000US17031242000,"Census Tract 2420, Cook County, Illinois",131853
1400000US17031242100,"Census Tract 2421, Cook County, Illinois",156607
1400000US17031242200,"Census Tract 2422, Cook County, Illinois",158906
1400000US17031242300,"Census Tract 2423, Cook County, Illinois",128833
1400000US17031242400,"Census Tract 2424, Cook County, Illinois",151625
1400000US17031242500,"Census Tract 2425, Cook County, Illinois",89176
1400000US17031242600,"Census Tract 2426, Cook County, Illinois",60735
1400000US17031242700,"Census Tract 2427, Cook County, Illinois",51146
1400000US17031242800,"Census Tract 2428, Cook County, Illinois",103333
1400000US17031242900,"Census Tract 2429, Cook County, Illinois",135156
1400000US17031243000,"Census Tract 2430, Cook County, Illinois",103906
1400000US17031243100,"Census Tract 2431, Cook County, Illinois",145625
1400000US17031243200,"Census Tract 2432, Cook County, Illinois",173966
1400000US17031243300,"Census Tract 2433, Cook County, Illinois",120078
1400000US17031243400,"Census Tract 2434, Cook County, Illinois",104750
1400000US17031243500,"Census Tract 2435, Cook County, Illinois",182543
1400000US17031250200,"Census Tract 2502, Cook County, Illinois",65329
1400000US17031250300,"Census Tract 2503, Cook County, Illinois",35278
1400000US17031250400,"Census Tract 2504, Cook County, Illinois",49647
1400000US17031250500,"Census Tract 2505, Cook County, Illinois",115074
1400000US17031250600,"Census Tract 2506, Cook County, Illinois",62188
1400000US17031250700,"Census Tract 2507, Cook County, Illinois",44929
1400000US17031250800,"Census Tract 2508, Cook County, Illinois",45492
1400000US17031251000,"Census Tract 2510, Cook County, Illinois",29276
1400000US17031251100,"Census Tract 2511, Cook County, Illinois",30805
1400000US17031251200,"Census Tract 2512, Cook County, Illinois",51419
1400000US17031251300,"Census Tract 2513, Cook County, Illinois",37067
1400000US17031251400,"Census Tract 2514, Cook County, Illinois",57952
1400000US17031251500,"Census Tract 2515, Cook County, Illinois",37679
1400000US17031251600,"Census Tract 2516, Cook County, Illinois",26781
1400000US17031251700,"Census Tract 2517, Cook County, Illinois",57898
1400000US17031251800,"Census Tract 2518, Cook County, Illinois",27091
1400000US17031251900,"Census Tract 2519, Cook County, Illinois",21463
1400000US17031252000,"Census Tract 2520, Cook County, Illinois",26222
1400000US17031252101,"Census Tract 2521.01, Cook County, Illinois",28421
1400000US17031252102,"Census Tract 2521.02, Cook County, Illinois",49542
1400000US17031252201,"Census Tract 2522.01, Cook County, Illinois",38984
1400000US17031252202,"Census Tract 2522.02, Cook County, Illinois",28300
1400000US17031260100,"Census Tract 2601, Cook County, Illinois",31250
1400000US17031260200,"Census Tract 2602, Cook County, Illinois",38056
1400000US17031260300,"Census Tract 2603, Cook County, Illinois",37784
1400000US17031260400,"Census Tract 2604, Cook County, Illinois",-
1400000US17031260500,"Census Tract 2605, Cook County, Illinois",32109
1400000US17031260600,"Census Tract 2606, Cook County, Illinois",28315
1400000US17031260700,"Census Tract 2607, Cook County, Illinois",28875
1400000US17031260800,"Census Tract 2608, Cook County, Illinois",24153
1400000US17031260900,"Census Tract 2609, Cook County, Illinois",42208
1400000US17031261000,"Census Tract 2610, Cook County, Illinois",35058
1400000US17031270500,"Census Tract 2705, Cook County, Illinois",32083
1400000US17031271200,"Census Tract 2712, Cook County, Illinois",33565
1400000US17031271300,"Census Tract 2713, Cook County, Illinois",25517
1400000US17031271400,"Census Tract 2714, Cook County, Illinois",25391
1400000US17031271500,"Census Tract 2715, Cook County, Illinois",46917
1400000US17031271800,"Census Tract 2718, Cook County, Illinois",20104
1400000US17031280100,"Census Tract 2801, Cook County, Illinois",195677
1400000US17031280400,"Census Tract 2804, Cook County, Illinois",26625
1400000US17031280800,"Census Tract 2808, Cook County, Illinois",31429
1400000US17031280900,"Census Tract 2809, Cook County, Illinois",17458
1400000US17031281900,"Census Tract 2819, Cook County, Illinois",142569
1400000US17031282700,"Census Tract 2827, Cook County, Illinois",59009
1400000US17031282800,"Census Tract 2828, Cook County, Illinois",76488
1400000US17031283100,"Census Tract 2831, Cook County, Illinois",53967
1400000US17031283200,"Census Tract 2832, Cook County, Illinois",92500
1400000US17031283800,"Census Tract 2838, Cook County, Illinois",125833
1400000US17031290900,"Census Tract 2909, Cook County, Illinois",30056
1400000US17031291200,"Census Tract 2912, Cook County, Illinois",17857
1400000US17031291600,"Census Tract 2916, Cook County, Illinois",50347
1400000US17031292200,"Census Tract 2922, Cook County, Illinois",38212
1400000US17031292400,"Census Tract 2924, Cook County, Illinois",41875
1400000US17031292500,"Census Tract 2925, Cook County, Illinois",44732
1400000US17031300500,"Census Tract 3005, Cook County, Illinois",36184
1400000US17031300600,"Census Tract 3006, Cook County, Illinois",44931
1400000US17031300700,"Census Tract 3007, Cook County, Illinois",37730
1400000US17031300800,"Census Tract 3008, Cook County, Illinois",30313
1400000US17031300900,"Census Tract 3009, Cook County, Illinois",31204
1400000US17031301100,"Census Tract 3011, Cook County, Illinois",37946
1400000US17031301200,"Census Tract 3012, Cook County, Illinois",33866
1400000US17031301600,"Census Tract 3016, Cook County, Illinois",29385
1400000US17031301701,"Census Tract 3017.01, Cook County, Illinois",39076
1400000US17031301702,"Census Tract 3017.02, Cook County, Illinois",44706
1400000US17031301801,"Census Tract 3018.01, Cook County, Illinois",37816
1400000US17031301802,"Census Tract 3018.02, Cook County, Illinois",35846
1400000US17031301803,"Census Tract 3018.03, Cook County, Illinois",40844
1400000US17031310200,"Census Tract 3102, Cook County, Illinois",74236
1400000US17031310300,"Census Tract 3103, Cook County, Illinois",53500
1400000US17031310400,"Census Tract 3104, Cook County, Illinois",97083
1400000US17031310500,"Census Tract 3105, Cook County, Illinois",35365
1400000US17031310600,"Census Tract 3106, Cook County, Illinois",51597
1400000US17031310700,"Census Tract 3107, Cook County, Illinois",58371
1400000US17031310800,"Census Tract 3108, Cook County, Illinois",62861
1400000US17031310900,"Census Tract 3109, Cook County, Illinois",36996
1400000US17031320100,"Census Tract 3201, Cook County, Illinois",181226
1400000US17031320400,"Census Tract 3204, Cook County, Illinois","250,000+"
1400000US17031320600,"Census Tract 3206, Cook County, Illinois",178881
1400000US17031330100,"Census Tract 3301, Cook County, Illinois",180539
1400000US17031330200,"Census Tract 3302, Cook County, Illinois",159583
1400000US17031340300,"Census Tract 3403, Cook County, Illinois",44779
1400000US17031340400,"Census Tract 3404, Cook County, Illinois",53173
1400000US17031340500,"Census Tract 3405, Cook County, Illinois",24395
1400000US17031340600,"Census Tract 3406, Cook County, Illinois",16114
1400000US17031350100,"Census Tract 3501, Cook County, Illinois",79125
1400000US17031350400,"Census Tract 3504, Cook County, Illinois",19444
1400000US17031351000,"Census Tract 3510, Cook County, Illinois",-
1400000US17031351100,"Census Tract 3511, Cook County, Illinois",11457
1400000US17031351400,"Census Tract 3514, Cook County, Illinois",16622
1400000US17031351500,"Census Tract 3515, Cook County, Illinois",13707
1400000US17031360200,"Census Tract 3602, Cook County, Illinois",36802
1400000US17031380100,"Census Tract 3801, Cook County, Illinois",49940
1400000US17031380200,"Census Tract 3802, Cook County, Illinois",-
1400000US17031380500,"Census Tract 3805, Cook County, Illinois",22019
1400000US17031380700,"Census Tract 3807, Cook County, Illinois",45495
1400000US17031381200,"Census Tract 3812, Cook County, Illinois",87250
1400000US17031381400,"Census Tract 3814, Cook County, Illinois",26321
1400000US17031381500,"Census Tract 3815, Cook County, Illinois",-
1400000US17031381700,"Census Tract 3817, Cook County, Illinois",-
1400000US17031381800,"Census Tract 3818, Cook County, Illinois",44286
1400000US17031381900,"Census Tract 3819, Cook County, Illinois",54308
1400000US17031390100,"Census Tract 3901, Cook County, Illinois",104563
1400000US17031390200,"Census Tract 3902, Cook County, Illinois",102031
1400000US17031390300,"Census Tract 3903, Cook County, Illinois",24405
1400000US17031390400,"Census Tract 3904, Cook County, Illinois",68750
