,GEOID,D4A
781,170318061032,502.92
782,170318061023,300.41
783,170318062012,127.41
784,170318095001,84.49
785,170318096001,311.14
786,170318097002,167.64
787,170318096002,126.07
788,170318096003,476.1
789,170318097001,454.64
790,170318138013,242.74
791,170318097003,529.74
792,170318098001,194.46
793,170318099001,363.44
794,170318138012,252.13
795,170318138024,454.64
796,170318139001,386.24
797,170318138021,163.62
798,170318138022,166.3
799,170318138023,347.35
800,170318171013,147.52
801,170318139002,178.37
802,170318139003,128.75
803,170318170001,97.9
804,170318170002,214.58
805,170318170003,333.94
806,170318170004,0.0
807,170318170005,324.55
808,170318171011,195.8
809,170318171012,91.2
810,170318102001,297.73
811,170318171014,0.0
812,170318201031,686.65
813,170318201032,610.21
814,170318201033,42.92
816,170318201041,407.7
817,170318201042,1207.0
821,170318038004,881.12
825,170318049021,222.63
826,170318049022,181.05
827,170318049023,646.42
828,170318049024,913.3
832,170318050013,1024.62
833,170318062022,174.35
834,170318063001,603.5
835,170318063002,297.73
836,170318063004,567.29
837,170318063005,312.48
838,170318063006,131.43
839,170318062011,295.05
840,170318100003,736.27
841,170318101002,421.11
842,170318101003,378.2
843,170318101004,147.52
844,170318102005,253.47
845,170318102002,295.05
846,170318102003,166.3
847,170318102004,325.89
848,170318102006,340.64
849,170318139004,131.43
850,170318105013,662.51
851,170318140001,214.58
853,170318042021,1021.93
856,170318051072,445.25
857,170318051073,457.32
858,170318066001,598.14
859,170318067001,836.86
860,170318067003,427.82
861,170318067004,439.89
862,170318068012,124.72
863,170318068013,461.35
864,170318068014,287.0
865,170318068021,273.59
866,170318068023,227.99
867,170318104004,434.52
868,170318105011,434.52
869,170318105012,319.19
870,170318105014,886.48
871,170318144004,320.53
872,170318105015,514.99
873,170318105021,207.87
874,170318105022,610.21
875,170318146001,221.28
876,170318144005,0.0
877,170318144006,407.7
878,170318145001,134.11
879,170318145002,114.0
880,170318145003,122.04
881,170318177001,622.28
882,170318146002,221.28
883,170318144003,354.06
884,170318177004,721.52
885,170318025031,223.97
886,170318179001,411.72
887,170318179002,441.23
888,170318179003,544.49
889,170318179004,417.09
890,170318179005,79.13
891,170318025043,543.15
894,170315608004,315.16
899,170318043064,889.16
901,170314905001,0.0
902,170314907001,521.7
903,170315607001,307.12
904,170315608001,226.65
905,170315608002,219.94
906,170315608005,453.3
907,170315609003,476.1
908,170315610001,256.15
909,170315609004,473.42
910,170315609005,548.52
911,170315609006,297.73
912,170315610002,418.43
913,170315610003,560.59
914,170312506003,215.92
915,170312505005,437.21
916,170312505006,238.72
917,170312505007,197.14
918,170312506001,415.75
919,170312506002,218.6
920,170312507001,202.51
932,170438427021,402.34
934,170438427032,458.66
935,170438427101,584.73
936,170438449021,523.04
937,170438427112,604.85
946,170438411143,230.67
949,170318420001,0.0
952,170318249002,1105.08
954,170318360003,363.44
955,170318436002,289.68
956,170318358001,244.08
957,170318345001,371.49
958,170318362001,206.53
959,170318439001,262.86
960,170318344002,443.91
961,170314204001,236.04
963,170318407001,340.64
964,170313005001,358.08
965,170313005002,225.31
966,170313006001,225.31
967,170313006002,0.0
968,170318412003,223.97
969,170318412001,233.35
970,170318413001,234.7
971,170318413004,305.78
972,170318413003,222.63
973,170314206001,111.31
974,170314206002,250.79
975,170314208002,218.6
976,170314207001,240.06
977,170314207002,193.12
983,171978804152,1198.96
984,170314207004,269.57
985,170314207005,142.16
986,170314208001,253.47
987,170314911002,671.9
988,170314910001,405.02
989,170314910003,366.13
990,170314911001,291.02
991,170315703001,276.27
992,170314911003,293.71
993,170314911004,277.61
994,170314911005,376.85
995,170315801001,249.45
1002,170315703002,229.33
1003,170315703003,485.49
1004,170315704001,187.76
1005,170315704002,146.18
1006,170315705001,206.53
1007,170315705002,278.95
1008,170315801002,257.5
1009,170313009002,162.28
1010,170313007001,248.11
1011,170313008001,221.28
1012,170313008002,229.33
1013,170313201001,147.52
1014,170313012001,128.75
1015,170318432002,0.0
1016,170318432001,147.52
1017,170314912003,350.03
1018,170313201002,219.94
1019,170318344001,340.64
1020,170318344003,207.87
1021,170318439002,207.87
1022,170314212001,183.73
1023,170314912001,453.3
1024,170314912002,317.85
1025,170314913002,407.7
1026,170314913003,221.28
1027,170315804002,174.35
1028,170314914001,112.65
1029,170315001001,301.75
1030,170315001002,683.97
1031,170315001003,337.96
1032,170315802001,112.65
1033,170315802002,183.73
1034,170315803001,75.1
1035,170315804001,443.91
1036,170315804003,177.03
1039,170315804004,265.54
1040,170315805014,154.23
1041,170315805022,348.69
1051,170312606001,202.51
1064,170313017022,178.37
1065,170318408001,217.26
1066,170318408002,304.43
1067,170313016001,223.97
1068,170313017011,148.86
1069,170313017023,79.13
1070,170313017021,249.45
1071,170313018021,230.67
1072,170314303003,457.32
1073,170313206001,191.78
1074,170313206002,233.35
1075,170314302001,104.61
1076,170314302003,268.22
1077,170314302004,340.64
1078,170314302005,120.7
1079,170314303001,223.97
1080,170314304001,162.28
1081,170314305002,227.99
1082,170314304002,398.31
1083,170314304003,418.43
1084,170314304004,376.85
1085,170314305003,222.63
1086,171978809052,465.37
1087,170315001004,443.91
1088,170315002001,331.26
1089,170315002002,170.32
1090,170315003001,442.57
1091,170315101001,134.11
1092,170315805021,237.38
1093,170315805011,186.42
1094,171978809012,130.09
1095,171978809032,569.98
1097,171978810122,1200.3
1100,170315807001,484.14
1101,170315806001,63.03
1102,170315806002,398.31
1103,170315806003,242.74
1104,170318428004,190.44
1105,170318428002,132.77
1106,170318428005,199.83
1107,170318428003,211.9
1123,170318342004,284.32
1124,170318342002,254.81
1125,170318340001,588.75
1126,170318343002,152.89
1133,170314908001,431.84
1134,170312505002,299.07
1135,170312505003,274.93
1137,170318414001,256.15
1138,170312922001,268.22
1139,170312922002,354.06
1140,170312922003,379.54
1141,170318414002,163.62
1142,170312924001,366.13
1143,170312925001,350.03
1144,170312925002,170.32
1145,170312925003,173.0
1146,170312925004,447.93
1147,170313104001,219.94
1148,170313106001,143.5
1154,171978836052,555.22
1155,170313106002,155.57
1156,170313108003,248.11
1157,170313109001,282.98
1158,170313109002,162.28
1159,170313109003,296.39
1160,170314110001,355.4
1161,170314110002,194.46
1162,170314110003,81.81
1163,170314111001,171.66
1164,170314111002,368.81
1165,171978836051,414.41
1168,170314112001,264.2
1169,170314112002,307.12
1170,170314907002,211.9
1171,170314907003,407.7
1172,170314908002,240.06
1173,170315610006,189.1
1174,170314908004,217.26
1175,170314909024,266.88
1176,170315610004,519.01
1177,170315611002,305.78
1178,170315611003,311.14
1179,170315611004,253.47
1180,170315701001,236.04
1181,170312601001,442.57
1182,170318283002,1165.43
1183,170310105011,209.21
1185,170310101003,190.44
1186,170310632004,84.49
1187,170310103003,118.02
1188,170310107023,144.84
1189,170310107011,291.02
1190,170310102012,332.6
1191,170318026051,736.27
1192,170312106021,304.43
1193,170310105022,115.34
1194,170310105012,130.09
1195,170310106002,341.99
1196,170310106004,88.51
1197,170318016073,1137.27
1198,170318020043,382.22
1209,170312435002,109.97
1210,170312435001,233.35
1211,170312504005,282.98
1212,170312512004,277.61
1213,170312510001,127.41
1214,170312517001,96.56
1215,170312514004,195.8
1216,170316812003,281.64
1217,170316809001,594.12
1218,170316903002,114.0
1219,170316813002,517.67
1220,170316813001,272.25
1221,170317101001,225.31
1222,170316814003,159.59
1223,170316905001,166.3
1224,170316912002,241.4
1225,170318306004,182.39
1231,170438461062,1122.52
1234,170318343006,218.6
1235,170310814032,182.39
1236,170318339001,171.66
1237,170318339002,218.6
1238,170318340002,197.14
1239,170314909022,56.33
1241,170310201001,227.99
1242,170310104003,203.85
1243,170310106003,539.13
1244,170310306032,315.16
1245,170310205003,547.18
1246,170310203012,394.29
1247,170310301031,207.87
1248,170310301032,163.62
1249,170310306031,241.4
1250,170310307011,285.66
1251,170318306003,380.88
1252,170310313001,175.69
1253,170310106001,76.44
1254,170310107012,295.05
1255,170318306002,96.56
1256,170310205002,238.72
1257,170313515002,227.99
1258,170310205004,241.4
1259,170310203011,233.35
1260,170310301022,325.89
1261,170310301014,115.34
1262,170310315012,276.27
1263,170310306012,249.45
1264,170310306011,308.46
1265,170310313003,150.21
1266,170310313002,197.14
1267,170310312004,233.35
1268,170318060014,641.06
1269,170318061041,168.98
1270,170317005022,633.01
1272,170318025041,733.59
1273,170318030142,637.03
1274,170318043103,855.63
1275,170312515004,274.93
1276,170312518003,337.96
1277,170312604001,395.63
1278,170312521011,339.3
1279,170312605001,0.0
1280,170312610001,22.8
1281,170312603001,364.78
1286,170316913001,272.25
1287,170317001002,426.48
1288,170317002003,430.5
1289,170311104001,332.6
1290,170317004023,472.07
1291,170438438002,337.96
1292,170438431003,682.63
1293,170317005021,606.19
1294,170438464102,924.03
1296,170438427093,834.18
1298,170438443053,537.79
1299,170438443051,831.49
1301,170978633003,1143.98
1302,170978634001,1060.83
1310,170438463101,205.19
1311,170438457011,379.54
1313,170438401043,366.13
1314,170978631001,237.38
1315,170978632011,264.2
1316,170978632012,241.4
1317,170978632013,631.67
1320,170438423003,702.75
1321,170438427042,638.37
1323,170310814022,162.28
1324,170310609004,53.64
1325,170313511003,309.8
1329,170898543022,713.48
1330,170318072002,415.75
1331,170318085001,1016.57
1332,170318238034,639.71
1333,170318233046,722.86
1337,170318312002,284.32
1338,170311913022,274.93
1339,170318401002,309.8
1340,170310609001,96.56
1341,170312408001,101.93
1342,170310204002,101.93
1344,170318060012,148.86
1345,170318026094,274.93
1351,170318045112,460.0
1352,170318051081,494.87
1358,170316604002,205.19
1362,171978801131,894.53
1363,170316203006,346.01
1364,170318152004,205.19
1366,170438409082,583.39
1367,170438402013,666.54
1369,170438403041,846.25
1370,170438451002,540.47
1371,170438411141,1166.77
1372,170438411132,737.62
1374,170318352001,77.78
1375,170318399002,311.14
1377,170318397002,85.83
1378,170318426001,187.76
1379,170318426004,214.58
1380,170318438002,257.5
1381,170318351001,139.48
1382,170318350001,315.16
1384,170315603001,405.02
1385,170310402022,185.07
1386,170316603011,168.98
1387,170316711001,268.22
1388,170316911004,126.07
1390,170318130005,168.98
1391,170310802013,258.84
1392,170310810001,140.82
1393,170310813003,100.58
1394,170318390004,190.44
1395,170314109001,0.0
1396,170316115001,127.41
1397,170312831002,142.16
1398,170898526013,734.93
1400,170898529041,694.7
1403,170898531001,321.87
1404,170898531002,256.15
1405,170898539003,91.2
1406,170898511022,544.49
1407,170898511023,221.28
1408,170978606003,242.74
1409,170316009004,155.57
1410,171978801141,760.42
1411,170315808001,348.69
1412,170318126001,234.7
1413,170318150001,295.05
1414,170316203002,219.94
1415,170310301042,250.79
1416,170310307032,315.16
1417,170310701031,211.9
1418,170311406021,219.94
1421,171978803091,882.46
1428,170318015002,1135.93
1431,170318018002,675.92
1432,170438409083,390.27
1433,170438408023,348.69
1434,170438441001,659.83
1435,170438427031,650.44
1436,170438402011,1066.19
