,GEOID,MedianIncome,Pickup
605,17031691500,31081,43
606,17031700100,73523,48
607,17031700200,74915,51
608,17031700301,75737,17
609,17031700302,80195,10
610,17031700401,79722,36
611,17031700402,65871,23
612,17031700501,73688,132
613,17031700502,121182,32
614,17031710100,22303,12
615,17031710200,33995,167
616,17031710300,36985,41
617,17031710400,63042,171
618,17031710500,31804,106
619,17031710600,38269,15
620,17031710700,40882,74
621,17031710800,33325,208
622,17031710900,37153,14
623,17031711000,38664,60
624,17031711100,49750,29
625,17031711200,70224,73
626,17031711300,67273,18
627,17031711400,46083,31
628,17031711500,44583,29
629,17031720100,172935,14
630,17031720200,93318,22
631,17031720300,123715,19
632,17031720500,156992,1
633,17031720700,107292,12
634,17031730100,69643,15
635,17031730201,52344,156
636,17031730202,71364,28
637,17031730300,57188,10
638,17031730400,98207,36
639,17031730500,61485,90
640,17031730600,48523,36
641,17031730700,53777,15
642,17031740100,105577,4
643,17031740200,123625,15
644,17031740300,140000,2
645,17031740400,110234,7
646,17031750100,46094,36
647,17031750200,112083,5
648,17031750300,110536,1
649,17031750400,119803,3
650,17031750500,68327,143
651,17031750600,56023,24
652,17031760801,75553,91
653,17031760802,90382,5
654,17031760803,52658,28
655,17031770300,91319,3
656,17031770500,41088,5
657,17031770602,74500,9
658,17031770700,80921,598
659,17031770800,62585,36
660,17031770902,81974,1
661,17031800200,250000,1
662,17031800700,233750,1
663,17031801100,199306,1
664,17031801200,250000,3
665,17031802200,166691,3
666,17031802300,189527,2
667,17031802505,59398,2
668,17031804603,86982,16
669,17031804609,113750,3
670,17031805402,100625,3
671,17031805501,147279,2
672,17031805502,198406,5
673,17031805901,103077,2
674,17031806001,61134,2
675,17031806002,56908,3
676,17031806102,113828,2
677,17031806502,88507,1
678,17031806600,90865,29
679,17031806801,91364,2
680,17031806900,100481,55
681,17031807100,126350,2
682,17031807300,72273,19
683,17031807600,72011,161
684,17031807700,85056,3
685,17031807800,125500,16
686,17031807900,156125,6
687,17031808001,108750,6
688,17031808002,105516,97
689,17031808100,70726,60
690,17031808200,80577,4
691,17031808301,98367,2
692,17031808702,175000,9
693,17031808800,226806,12
694,17031808900,195625,1
695,17031809200,60042,7
696,17031809300,184083,36
697,17031809400,128897,262
698,17031809500,117955,3
699,17031809700,110809,3
700,17031809900,217458,7
701,17031810000,148583,13
702,17031810200,72628,52
703,17031810301,96058,66
704,17031810400,138507,10
705,17031810501,99306,4
706,17031810502,73257,86
707,17031810701,64663,2
708,17031810702,83894,6
709,17031810900,65758,10
710,17031811100,66053,2
711,17031811200,84018,1
712,17031811302,43720,16
713,17031811600,56143,19
714,17031811701,69355,11
715,17031811800,80052,1
716,17031811900,210875,6
717,17031812000,183098,11
718,17031812100,128750,8
719,17031812200,238688,2
720,17031812301,99750,80
721,17031812400,234167,2
722,17031812500,130125,60
723,17031812600,108056,4
724,17031812700,119444,9
725,17031812801,101350,14
726,17031812802,103239,2
727,17031812900,155160,12
728,17031813000,127330,6
729,17031813100,114653,6
730,17031813200,161268,2
731,17031813301,39750,3
732,17031813302,39508,3
733,17031813400,49453,19
734,17031813600,56919,3
735,17031813701,49453,3
736,17031813702,52055,5
737,17031813801,50417,25
738,17031813802,43346,4
739,17031813900,44884,8
740,17031814100,45492,4
741,17031814200,47321,137
742,17031814300,55238,2
743,17031814400,54489,7
744,17031814500,68328,5
745,17031814600,65000,5
746,17031814700,81698,6
747,17031814800,75668,4
748,17031814900,69112,16
749,17031815000,69458,1
750,17031815100,83665,1
751,17031815200,59400,2
752,17031815400,75833,7
753,17031815500,74491,3
754,17031815600,77941,34
755,17031815702,122344,3
756,17031815900,92688,8
757,17031816000,120833,7
758,17031816100,89674,74
759,17031816200,76607,5
760,17031817101,54261,4
761,17031817200,60114,3
762,17031817300,48977,1
763,17031817500,56838,9
764,17031817900,68150,50
765,17031818000,72730,5
766,17031818300,71182,3
767,17031818401,92500,2
768,17031818500,106071,3
769,17031818900,116750,1
770,17031819200,71717,2
771,17031820202,62472,26
772,17031820501,72128,7
773,17031820502,70485,2
774,17031820700,77092,3
775,17031820800,74423,4
776,17031820901,67571,293
777,17031820902,92430,22
778,17031821102,60536,7
779,17031821200,66952,2
780,17031821402,76290,10
781,17031821600,79333,147
782,17031821700,98125,1
783,17031821800,90863,38
784,17031821900,98869,38
785,17031822101,81518,2
786,17031822102,105833,90
787,17031822500,76642,3
788,17031823001,48409,13
789,17031823200,78268,6
790,17031823304,83300,16
791,17031823603,44875,3
792,17031823903,108274,1
793,17031824115,84342,2
794,17031824400,64605,2
795,17031824602,83333,2
796,17031824702,78882,2
797,17031825501,69643,2
798,17031825503,60811,1
799,17031825600,54426,3
800,17031825700,53125,2
801,17031825802,46986,2
802,17031825803,70345,3
803,17031826201,76359,1
804,17031826401,65496,2
805,17031826402,57703,1
806,17031826500,46463,5
807,17031826600,44219,7
808,17031826700,42670,10
809,17031827805,79950,3
810,17031827902,55658,3
811,17031828100,53494,2
812,17031829901,96028,3
813,17031830500,42946,41
814,17031830600,45000,295
815,17031830700,80400,912
816,17031830800,119894,217
817,17031830900,106724,1071
818,17031831000,210313,371
819,17031831100,62786,646
820,17031831200,41296,70
821,17031831300,53854,16
822,17031831400,39231,244
823,17031831500,60938,104
824,17031831600,61939,116
825,17031831700,68056,34
826,17031831800,66568,164
827,17031831900,229318,416
828,17031832000,228125,764
829,17031832100,130063,606
830,17031832200,209205,418
831,17031832300,158750,624
832,17031832400,126750,379
833,17031832500,219048,899
834,17031832600,246875,1901
835,17031832900,162813,97
836,17031833000,210000,5392
837,17031833100,195787,3078
838,17031833300,154167,290
839,17031833900,33250,5
840,17031834000,46250,170
841,17031834200,77500,328
842,17031834300,75847,262
843,17031834400,74663,155
844,17031834500,41146,25
845,17031834600,33636,38
846,17031834700,28661,24
847,17031834800,38750,49
848,17031834900,29750,27
849,17031835000,33922,153
850,17031835100,44323,36
851,17031835200,70962,36
852,17031835500,29135,43
853,17031835600,39417,39
854,17031835700,49519,2
855,17031835800,31875,58
856,17031835900,52386,285
857,17031836000,95109,68
858,17031836100,26360,67
859,17031836200,221042,1056
860,17031836300,86131,31
861,17031836400,45449,126
862,17031836500,45530,31
863,17031836600,56594,187
864,17031836700,38821,142
865,17031836800,19079,105
866,17031836900,28971,18
867,17031837000,39175,28
868,17031837100,32298,77
869,17031837300,35417,80
870,17031837400,36979,68
871,17031837800,58529,398
872,17031838000,63125,182
873,17031838100,120833,894
874,17031838200,105769,1776
875,17031838300,147708,909
876,17031838600,17063,16
877,17031838700,31601,250
878,17031838800,29868,69
879,17031839000,129196,3005
880,17031839100,159538,9490
881,17031839200,53393,356
882,17031839500,158026,24
883,17031839600,44760,36
884,17031839700,91042,92
885,17031839800,68750,34
886,17031839900,76806,86
887,17031840000,106029,16
888,17031840100,53965,14
889,17031840200,77083,19
890,17031840300,53885,34
891,17031840400,61845,143
892,17031840700,45303,120
893,17031840800,35117,14
894,17031841000,112426,363
895,17031841100,38922,427
896,17031841200,45450,270
897,17031841300,53017,268
898,17031841400,56167,17
899,17031841500,32539,152
900,17031841600,67292,3
901,17031841700,27109,10
902,17031841800,43542,84
903,17031841900,129934,2304
904,17031842000,171141,116
905,17031842100,38119,156
906,17031842200,105060,2738
907,17031842300,148125,2076
908,17031842400,53997,601
909,17031842500,0,92
910,17031842600,75724,211
911,17031842800,29681,126
912,17031842900,26420,626
913,17031843000,27431,231
914,17031843100,32098,66
915,17031843200,51917,359
916,17031843300,73092,242
917,17031843400,33776,20
918,17031843500,28750,29
919,17031843600,67609,298
920,17031843700,194375,469
921,17031843800,41250,19
922,17031843900,50104,261
923,17031980000,0,9661
924,17031980100,0,2899
