,GEOID,MedianIncome
1081,17031823705,63508
1082,17031823801,131042
1083,17031823803,93125
1084,17031823805,77188
1085,17031823806,56172
1086,17031823901,117891
1087,17031823903,108274
1088,17031823904,114464
1089,17031824003,103023
1090,17031824004,118707
1091,17031824005,139240
1092,17031824006,143466
1093,17031824105,118650
1094,17031824106,104195
1095,17031824107,93466
1096,17031824108,99615
1097,17031824113,107391
1098,17031824114,116008
1099,17031824115,84342
1100,17031824116,80100
1101,17031824117,122324
1102,17031824119,129539
1103,17031824120,146682
1104,17031824121,87500
1105,17031824122,116477
1106,17031824123,90341
1107,17031824300,54196
1108,17031824400,64605
1109,17031824503,91378
1110,17031824505,84167
1111,17031824506,81696
1112,17031824507,74112
1113,17031824601,83317
1114,17031824602,83333
1115,17031824701,78278
1116,17031824702,78882
1117,17031824800,49306
1118,17031824900,42198
1119,17031825000,75350
1120,17031825200,82500
1121,17031825302,77389
1122,17031825303,78261
1123,17031825304,88125
1124,17031825400,89464
1125,17031825501,69643
1126,17031825503,60811
1127,17031825504,60893
1128,17031825505,67692
1129,17031825600,54426
1130,17031825700,53125
1131,17031825801,55927
1132,17031825802,46986
1133,17031825803,70345
1134,17031825900,52120
1135,17031826000,47424
1136,17031826100,53652
1137,17031826201,76359
1138,17031826202,40526
1139,17031826301,57143
1140,17031826303,52726
1141,17031826304,33882
1142,17031826401,65496
1143,17031826402,57703
1144,17031826500,46463
1145,17031826600,44219
1146,17031826700,42670
1147,17031826800,47883
1148,17031826901,30125
1149,17031826902,33382
1150,17031827000,39434
1151,17031827100,47219
1152,17031827200,68548
1153,17031827300,33125
1154,17031827400,46382
1155,17031827500,50347
1156,17031827600,41319
1157,17031827700,54942
1158,17031827801,63936
1159,17031827802,87906
1160,17031827804,83158
1161,17031827805,79950
1162,17031827901,103906
1163,17031827902,55658
1164,17031828000,59425
1165,17031828100,53494
1166,17031828201,70119
1167,17031828202,100778
1168,17031828300,78565
1169,17031828401,87669
1170,17031828402,74009
1171,17031828503,42065
1172,17031828504,50129
1173,17031828505,75842
1174,17031828506,71299
1175,17031828601,98611
1176,17031828602,101891
1177,17031828701,86250
1178,17031828702,55217
1179,17031828801,96981
1180,17031828802,79853
1181,17031828900,57835
1182,17031829000,22632
1183,17031829100,45580
1184,17031829200,52256
1185,17031829301,96769
1186,17031829302,43636
1187,17031829401,31339
1188,17031829402,53551
1189,17031829500,44375
1190,17031829600,88657
1191,17031829700,49306
1192,17031829800,115074
1193,17031829901,96028
1194,17031829902,81768
1195,17031830001,55313
1196,17031830003,117303
1197,17031830004,111250
1198,17031830005,121339
1199,17031830006,68828
1200,17031830007,60325
1201,17031830008,96184
1202,17031830100,80197
1203,17031830201,81848
1204,17031830202,89693
1205,17031830300,53237
1206,17031830400,60970
1207,17031830500,42946
1208,17031830600,45000
1209,17031830700,80400
1210,17031830800,119894
1211,17031830900,106724
1212,17031831000,210313
1213,17031831100,62786
1214,17031831200,41296
1215,17031831300,53854
1216,17031831400,39231
1217,17031831500,60938
1218,17031831600,61939
1219,17031831700,68056
1220,17031831800,66568
1221,17031831900,229318
1222,17031832000,228125
1223,17031832100,130063
1224,17031832200,209205
1225,17031832300,158750
1226,17031832400,126750
1227,17031832500,219048
1228,17031832600,246875
1229,17031832900,162813
1230,17031833000,210000
1231,17031833100,195787
1232,17031833300,154167
1233,17031833900,33250
1234,17031834000,46250
1235,17031834200,77500
1236,17031834300,75847
1237,17031834400,74663
1238,17031834500,41146
1239,17031834600,33636
1240,17031834700,28661
1241,17031834800,38750
1242,17031834900,29750
1243,17031835000,33922
1244,17031835100,44323
1245,17031835200,70962
1246,17031835500,29135
1247,17031835600,39417
1248,17031835700,49519
1249,17031835800,31875
1250,17031835900,52386
1251,17031836000,95109
1252,17031836100,26360
1253,17031836200,221042
1254,17031836300,86131
1255,17031836400,45449
1256,17031836500,45530
1257,17031836600,56594
1258,17031836700,38821
1259,17031836800,19079
1260,17031836900,28971
1261,17031837000,39175
1262,17031837100,32298
1263,17031837300,35417
1264,17031837400,36979
1265,17031837800,58529
1266,17031838000,63125
1267,17031838100,120833
1268,17031838200,105769
1269,17031838300,147708
1270,17031838600,17063
1271,17031838700,31601
1272,17031838800,29868
1273,17031839000,129196
1274,17031839100,159538
1275,17031839200,53393
1276,17031839500,158026
1277,17031839600,44760
1278,17031839700,91042
1279,17031839800,68750
1280,17031839900,76806
1281,17031840000,106029
1282,17031840100,53965
1283,17031840200,77083
1284,17031840300,53885
1285,17031840400,61845
1286,17031840700,45303
1287,17031840800,35117
1288,17031841000,112426
1289,17031841100,38922
1290,17031841200,45450
1291,17031841300,53017
1292,17031841400,56167
1293,17031841500,32539
1294,17031841600,67292
1295,17031841700,27109
1296,17031841800,43542
1297,17031841900,129934
1298,17031842000,171141
1299,17031842100,38119
1300,17031842200,105060
1301,17031842300,148125
1302,17031842400,53997
1303,17031842500,0
1304,17031842600,75724
1305,17031842800,29681
1306,17031842900,26420
1307,17031843000,27431
1308,17031843100,32098
1309,17031843200,51917
1310,17031843300,73092
1311,17031843400,33776
1312,17031843500,28750
1313,17031843600,67609
1314,17031843700,194375
1315,17031843800,41250
1316,17031843900,50104
1317,17031980000,0
1318,17031980100,0
1319,17031990000,0
